PRECISE MISSION TIME (min),Ppx,Ppy,Ppz
3395.650291,-233879.2621,-60351.63915,-17320.54306
3396.650291,-233945.3856,-60382.60827,-17337.14683
3397.650291,-234011.4857,-60413.5711,-17353.74876
3398.650291,-234077.5623,-60444.52766,-17370.34885
3399.650291,-234143.6156,-60475.47794,-17386.94711
3400.650291,-234209.6454,-60506.42195,-17403.54353
3401.650291,-234275.6519,-60537.35968,-17420.13811
3402.650291,-234341.635,-60568.29114,-17436.73086
3403.650291,-234407.5948,-60599.21634,-17453.32177
3404.650291,-234473.5313,-60630.13527,-17469.91084
3405.650291,-234539.4444,-60661.04793,-17486.49807
3406.650291,-234605.3343,-60691.95434,-17503.08346
3407.650291,-234671.2008,-60722.85448,-17519.66702
3408.650291,-234737.0441,-60753.74837,-17536.24873
3409.650291,-234802.8641,-60784.636,-17552.82861
3410.650291,-234868.6609,-60815.51739,-17569.40665
3411.650291,-234934.4345,-60846.39252,-17585.98285
3412.650291,-235000.1848,-60877.2614,-17602.55722
3413.650291,-235065.912,-60908.12404,-17619.12974
3414.650291,-235131.6159,-60938.98043,-17635.70042
3415.650291,-235197.2967,-60969.83058,-17652.26926
3416.650291,-235262.9544,-61000.67449,-17668.83627
3417.650291,-235328.5889,-61031.51217,-17685.40143
3418.650291,-235394.2003,-61062.34361,-17701.96475
3419.650291,-235459.7885,-61093.16881,-17718.52624
3420.650291,-235525.3537,-61123.98779,-17735.08588
3421.650291,-235590.8958,-61154.80054,-17751.64368
3422.650291,-235656.4148,-61185.60706,-17768.19964
3423.650291,-235721.9108,-61216.40735,-17784.75376
3424.650291,-235787.3837,-61247.20143,-17801.30604
3425.650291,-235852.8336,-61277.98928,-17817.85648
3426.650291,-235918.2605,-61308.77092,-17834.40508
3427.650291,-235983.6644,-61339.54634,-17850.95184
3428.650291,-236049.0453,-61370.31555,-17867.49675
3429.650291,-236114.4032,-61401.07854,-17884.03982
3430.650291,-236179.7382,-61431.83533,-17900.58105
3431.650291,-236245.0503,-61462.58591,-17917.12044
3432.650291,-236310.3394,-61493.33028,-17933.65799
3433.650291,-236375.6056,-61524.06845,-17950.19369
3434.650291,-236440.8489,-61554.80042,-17966.72756
3435.650291,-236506.0694,-61585.5262,-17983.25957
3436.650291,-236571.2669,-61616.24577,-17999.78975
3437.650291,-236636.4416,-61646.95916,-18016.31808
3438.650291,-236701.5935,-61677.66634,-18032.84457
3439.650291,-236766.7225,-61708.36734,-18049.36922
3440.650291,-236831.8287,-61739.06216,-18065.89202
3441.650291,-236896.9122,-61769.75078,-18082.41298
3442.650291,-236961.9728,-61800.43322,-18098.9321
3443.650291,-237027.0107,-61831.10948,-18115.44937
3444.650291,-237092.0258,-61861.77957,-18131.9648
3445.650291,-237157.0182,-61892.44347,-18148.47839
3446.650291,-237221.9878,-61923.1012,-18164.99013
3447.650291,-237286.9347,-61953.75275,-18181.50002
3448.650291,-237351.8589,-61984.39814,-18198.00808
3449.650291,-237416.7605,-62015.03736,-18214.51428
3450.650291,-237481.6393,-62045.6704,-18231.01865
3451.650291,-237546.4955,-62076.29729,-18247.52116
3452.650291,-237611.3291,-62106.91801,-18264.02184
3453.650291,-237676.14,-62137.53257,-18280.52066
3454.650291,-237740.9283,-62168.14097,-18297.01765
3455.650291,-237805.694,-62198.74322,-18313.51278
3456.650291,-237870.4371,-62229.33931,-18330.00607
3457.650291,-237935.1576,-62259.92925,-18346.49752
3458.650291,-237999.8556,-62290.51304,-18362.98712
3459.650291,-238064.531,-62321.09069,-18379.47487
3460.650291,-238129.1839,-62351.66218,-18395.96078
