MISSION ELAPSED TIME (min),Rx(km)[J2000-EARTH],Ry(km)[J2000-EARTH],Rz(km)[J2000-EARTH]
609.0375264,-68116.90301,-21668.91579,-8334.704711
609.0709441,-68117.62209,-21670.65799,-8336.058792
609.1043618,-68118.34088,-21672.40009,-8337.412836
609.1377795,-68119.05938,-21674.1421,-8338.766845
609.1711972,-68119.77758,-21675.88402,-8340.120818
609.2046149,-68120.49549,-21677.62585,-8341.474755
609.2380326,-68121.21311,-21679.36758,-8342.828657
609.2714503,-68121.93044,-21681.10922,-8344.182522
609.304868,-68122.64747,-21682.85077,-8345.536352
609.3382857,-68123.36421,-21684.59222,-8346.890146
609.3717034,-68124.08066,-21686.33358,-8348.243904
609.4051211,-68124.79681,-21688.07485,-8349.597627
609.4385387,-68125.51267,-21689.81602,-8350.951313
609.4719564,-68126.22824,-21691.5571,-8352.304964
609.5053741,-68126.94352,-21693.29809,-8353.658578
609.5387918,-68127.6585,-21695.03898,-8355.012157
609.5722095,-68128.37319,-21696.77978,-8356.3657
609.6056272,-68129.08759,-21698.52049,-8357.719208
609.6390449,-68129.80169,-21700.2611,-8359.072679
609.6724626,-68130.51551,-21702.00163,-8360.426115
609.7058803,-68131.22903,-21703.74205,-8361.779514
609.739298,-68131.94225,-21705.48239,-8363.132878
609.7727157,-68132.65519,-21707.22263,-8364.486206
609.8061334,-68133.36783,-21708.96278,-8365.839498
609.8395511,-68134.08018,-21710.70284,-8367.192754
609.8729688,-68134.79223,-21712.4428,-8368.545974
609.9063865,-68135.504,-21714.18267,-8369.899158
609.9398042,-68136.21547,-21715.92244,-8371.252307
609.9732219,-68136.92665,-21717.66213,-8372.605419
610.0066396,-68137.63754,-21719.40171,-8373.958496
610.0400573,-68138.34813,-21721.14121,-8375.311536
610.073475,-68139.05843,-21722.88061,-8376.664541
610.1068927,-68139.76844,-21724.61992,-8378.01751
610.1403104,-68140.47816,-21726.35914,-8379.370443
610.1737281,-68141.18758,-21728.09826,-8380.72334
610.2071458,-68141.89671,-21729.83729,-8382.076201
610.2405635,-68142.60555,-21731.57623,-8383.429026
610.2739812,-68143.3141,-21733.31507,-8384.781815
610.3073989,-68144.02235,-21735.05382,-8386.134568
610.3408166,-68144.73031,-21736.79248,-8387.487285
610.3742343,-68145.43798,-21738.53105,-8388.839966
610.407652,-68146.14536,-21740.26952,-8390.192611
610.4410697,-68146.85245,-21742.00789,-8391.54522
610.4744874,-68147.55924,-21743.74618,-8392.897794
